epoch,lr,memory,step,train_acc,train_auc,train_f1,train_loss,train_precision,train_recall,train_tpr,val_acc,val_auc,val_f1,val_loss,val_precision,val_recall,val_tpr
8,0.0009999946923926473,2599955968.0,1329,,,,0.030895011499524117,,,,,,,,,,
8,,,1331,,,,,,,,0.7495115399360657,0.9156577587127686,0.8090753555297852,1.161610722541809,0.6876116991043091,0.9826577305793762,nan
8,,,1331,0.9311801195144653,0.9686373472213745,0.949349045753479,,0.9397228956222534,0.959174394607544,nan,,,,,,,
9,0.0009999836329370737,2599390720.0,1339,,,,0.05340663343667984,,,,,,,,,,
9,0.0009999172762036324,2599431680.0,1349,,,,0.02096037194132805,,,,,,,,,,
9,0.0009997996967285872,2599472640.0,1359,,,,1.3120918273925781,,,,,,,,,,
9,0.0009996312437579036,2599513600.0,1369,,,,0.33434993028640747,,,,,,,,,,
9,0.0009994115680456161,2599554560.0,1379,,,,0.1491568684577942,,,,,,,,,,
9,0.0009991410188376904,2599595520.0,1389,,,,0.059808604419231415,,,,,,,,,,
9,0.0009988193633034825,2599636480.0,1399,,,,0.027308374643325806,,,,,,,,,,
9,,,1405,,,,,,,,0.6219974756240845,0.8866262435913086,0.46179020404815674,1.7902342081069946,0.9996457695960999,0.3002447187900543,nan
9,0.0009984467178583145,2599677440.0,1409,,,,0.23688888549804688,,,,,,,,,,
9,0.0009980231989175081,2599718400.0,1419,,,,0.09040798246860504,,,,,,,,,,
9,0.0009975488064810634,2599759360.0,1429,,,,0.11216118931770325,,,,,,,,,,
9,0.0009970235405489802,2599800320.0,1439,,,,0.12050645053386688,,,,,,,,,,
9,0.0009964475175365806,2599841280.0,1449,,,,0.1279565542936325,,,,,,,,,,
9,0.0009958208538591862,2599882240.0,1459,,,,0.05923624336719513,,,,,,,,,,
9,0.0009951434331014752,2599923200.0,1469,,,,0.07245570421218872,,,,,,,,,,
9,0.0009944154880940914,242725376.0,1479,,,,0.006273915525525808,,,,,,,,,,
9,,,1479,,,,,,,,0.7660613656044006,0.9333150386810303,0.8165141940116882,0.8091498613357544,0.7083203196525574,0.9637195467948914,nan
9,,,1479,0.9431990385055542,0.9755476713180542,0.9581993818283081,,0.948383629322052,0.9682204127311707,nan,,,,,,,
10,0.0009936369024217129,2599398912.0,1489,,,,0.03972827270627022,,,,,,,,,,
10,0.000992808025330305,2599439872.0,1499,,,,0.015833884477615356,,,,,,,,,,
10,0.0009919287404045463,2599480832.0,1509,,,,0.773672342300415,,,,,,,,,,
10,0.0009909991640597582,2599521792.0,1519,,,,0.2024102807044983,,,,,,,,,,
10,0.0009900194127112627,2599562752.0,1529,,,,0.09158602356910706,,,,,,,,,,
10,0.0009889896027743816,2599603712.0,1539,,,,0.04386526718735695,,,,,,,,,,
10,0.0009879098506644368,2599644672.0,1549,,,,0.021219387650489807,,,,,,,,,,
10,,,1553,,,,,,,,0.6926215291023254,0.8905190825462341,0.6028658151626587,1.5672588348388672,0.9975429773330688,0.4319608509540558,nan
10,0.00098678027279675,2599685632.0,1559,,,,0.0617784820497036,,,,,,,,,,
10,0.0009856009855866432,2599726592.0,1569,,,,0.04749440401792526,,,,,,,,,,
10,0.0009843719890341163,2599767552.0,1579,,,,0.1902923583984375,,,,,,,,,,
10,0.0009830935159698129,2599808512.0,1589,,,,0.10165799409151077,,,,,,,,,,
10,0.0009817657992243767,2599849472.0,1599,,,,0.10774527490139008,,,,,,,,,,
10,0.0009803887223824859,2599890432.0,1609,,,,0.1346539855003357,,,,,,,,,,
10,0.000978962634690106,2599931392.0,1619,,,,0.04240560531616211,,,,,,,,,,
10,,,1627,,,,,,,,0.8044477701187134,0.9247126579284668,0.8347657322883606,0.669575572013855,0.767774224281311,0.91456538438797,nan
10,,,1627,0.9549124836921692,0.9870619177818298,0.9666591286659241,,0.9613063335418701,0.9720718860626221,nan,,,,,,,
11,0.0009774875361472368,2599366144.0,1629,,,,0.06086133047938347,,,,,,,,,,
11,0.0009759637759998441,2599407104.0,1639,,,,0.009310095570981503,,,,,,,,,,
11,0.0009743912960402668,2599448064.0,1649,,,,0.011213838122785091,,,,,,,,,,
11,0.0009727703873068094,2599489024.0,1659,,,,0.30181723833084106,,,,,,,,,,
11,0.000971101108007133,2599529984.0,1669,,,,0.11446985602378845,,,,,,,,,,
11,0.0009693837491795421,2599570944.0,1679,,,,0.07702431082725525,,,,,,,,,,
11,0.0009676184272393584,2599611904.0,1689,,,,0.037861764430999756,,,,,,,,,,
11,0.0009658053750172257,2599652864.0,1699,,,,0.014151973649859428,,,,,,,,,,
11,,,1701,,,,,,,,0.7610045075416565,0.9326382875442505,0.7166314721107483,1.0175178050994873,0.9964001774787903,0.5595276355743408,nan
11,0.0009639446507208049,2599693824.0,1709,,,,0.0724480003118515,,,,,,,,,,
11,0.0009620365453884006,2599734784.0,1719,,,,0.022723399102687836,,,,,,,,,,
11,0.0009600812918506563,2599775744.0,1729,,,,0.09308156371116638,,,,,,,,,,
11,0.000958078948315233,2599816704.0,1739,,,,0.12953689694404602,,,,,,,,,,
11,0.0009560298640280962,2599857664.0,1749,,,,0.06887173652648926,,,,,,,,,,
11,0.0009539341554045677,2599898624.0,1759,,,,0.10518960654735565,,,,,,,,,,
11,0.0009517920552752912,2599939584.0,1769,,,,0.04107345640659332,,,,,,,,,,
11,,,1775,,,,,,,,0.8168026804924011,0.9316388368606567,0.8438632488250732,0.6488328576087952,0.7818313837051392,0.9165868759155273,nan
11,,,1775,0.9653244614601135,0.9924091696739197,0.9743191003799438,,0.9703963398933411,0.9782737493515015,nan,,,,,,,
12,0.0009496037964709103,2599374336.0,1779,,,,0.038015447556972504,,,,,,,,,,
12,0.0009473696118220687,2599415296.0,1789,,,,0.01389526017010212,,,,,,,,,,
12,0.00094508973415941,2599456256.0,1799,,,,0.006159801036119461,,,,,,,,,,
12,0.0009427643963135779,2599497216.0,1809,,,,0.2793833911418915,,,,,,,,,,
12,0.0009403937729075551,2599538176.0,1819,,,,0.09391383081674576,,,,,,,,,,
12,0.0009379781549796462,2599579136.0,1829,,,,0.03529766947031021,,,,,,,,,,
12,0.0009355178335681558,2599620096.0,1839,,,,0.026751909404993057,,,,,,,,,,
12,0.0009330129832960665,2599661056.0,1849,,,,0.32315129041671753,,,,,,,,,,
12,,,1849,,,,,,,,0.8093322515487671,0.9431716799736023,0.7865963578224182,0.8293858170509338,0.9944706559181213,0.6506011486053467,nan
12,0.000930463895201683,2599702016.0,1859,,,,0.028913984075188637,,,,,,,,,,
12,0.000927870802115649,2599742976.0,1869,,,,0.01895241066813469,,,,,,,,,,
12,0.0009252339950762689,2599783936.0,1879,,,,0.0953809916973114,,,,,,,,,,
12,0.0009225537651218474,2599824896.0,1889,,,,0.08201127499341965,,,,,,,,,,
12,0.000919830403290689,2599865856.0,1899,,,,0.054931577295064926,,,,,,,,,,
12,0.0009170640842057765,2599906816.0,1909,,,,0.0803934708237648,,,,,,,,,,
12,0.0009142551571130753,2599947776.0,1919,,,,0.041700445115566254,,,,,,,,,,
12,,,1923,,,,,,,,0.834214448928833,0.9353139400482178,0.8544032573699951,0.5805822014808655,0.8126919865608215,0.9006277322769165,nan
12,,,1923,0.9707030653953552,0.994743287563324,0.9782741665840149,,0.9756030440330505,0.9809598922729492,nan,,,,,,,
13,0.00091140391305089,2599382528.0,1929,,,,0.05278053134679794,,,,,,,,,,
13,0.0009085106430575252,2599423488.0,1939,,,,0.005578962154686451,,,,,,,,,,
13,0.0009055756381712854,2599464448.0,1949,,,,0.3256874084472656,,,,,,,,,,
13,0.0009025991894304752,2599505408.0,1959,,,,0.1641000211238861,,,,,,,,,,
13,0.0008995815878733993,2599546368.0,1969,,,,0.0970887541770935,,,,,,,,,,
13,0.0008965231827460229,2599587328.0,1979,,,,0.03902199864387512,,,,,,,,,,
13,0.0008934242650866508,2599628288.0,1989,,,,0.02152465656399727,,,,,,,,,,
13,,,1997,,,,,,,,0.8395012021064758,0.9376925230026245,0.8268765807151794,0.8433881402015686,0.9904959797859192,0.7096499800682068,nan
13,0.0008902851259335876,2599669248.0,1999,,,,0.23046128451824188,,,,,,,,,,
13,0.0008871061727404594,2599710208.0,2009,,,,0.013065392151474953,,,,,,,,,,
13,0.0008838875801302493,2599751168.0,2019,,,,0.009962651878595352,,,,,,,,,,
13,0.0008806298137642443,2599792128.0,2029,,,,0.11087898910045624,,,,,,,,,,
13,0.0008773331646807492,2599833088.0,2039,,,,0.056789133697748184,,,,,,,,,,
13,0.0008739979821257293,2599874048.0,2049,,,,0.04273737594485283,,,,,,,,,,
13,0.0008706245571374893,2599915008.0,2059,,,,0.0881257951259613,,,,,,,,,,
13,0.0008672132389619946,2599955968.0,2069,,,,0.03426995873451233,,,,,,,,,,
13,,,2071,,,,,,,,0.8709343671798706,0.9429246187210083,0.882543683052063,0.47054964303970337,0.8678391575813293,0.8977550864219666,nan
13,,,2071,0.9757895469665527,0.9962030053138733,0.9820172786712646,,0.9809045195579529,0.983132541179657,nan,,,,,,,
14,0.0008637644350528717,2599390720.0,2079,,,,0.04177595674991608,,,,,,,,,,
14,0.0008602784364484251,2599431680.0,2089,,,,0.01751389540731907,,,,,,,,,,
14,0.0008567556506022811,2599472640.0,2099,,,,0.2402629256248474,,,,,,,,,,
14,0.0008531964267604053,2599513600.0,2109,,,,0.13282540440559387,,,,,,,,,,
14,0.0008496011141687632,2599554560.0,2119,,,,0.07885663211345673,,,,,,,,,,
14,0.0008459700620733202,2599595520.0,2129,,,,0.024127114564180374,,,,,,,,,,
14,0.0008423036779277027,2599636480.0,2139,,,,0.02175598405301571,,,,,,,,,,
14,,,2145,,,,,,,,0.8590966463088989,0.9307396411895752,0.8514479398727417,0.9046235084533691,0.9887434840202332,0.7476327419281006,nan
14,0.0008386023109778762,2599677440.0,2149,,,,0.022307228296995163,,,,,,,,,,
14,0.0008348663104698062,2599718400.0,2159,,,,0.04529445245862007,,,,,,,,,,
14,0.00083109614206478,2599759360.0,2169,,,,0.06311264634132385,,,,,,,,,,
14,0.0008272921550087631,2599800320.0,2179,,,,0.08416923880577087,,,,,,,,,,
14,0.0008234546985477209,2599841280.0,2189,,,,0.03700118511915207,,,,,,,,,,
14,0.0008195841801352799,2599882240.0,2199,,,,0.03295136243104935,,,,,,,,,,
14,0.0008156810654327273,2599923200.0,2209,,,,0.08487796783447266,,,,,,,,,,
14,0.0008117456454783678,242725376.0,2219,,,,0.00979693979024887,,,,,,,,,,
14,,,2219,,,,,,,,0.8815653324127197,0.9401911497116089,0.8904364705085754,0.4531085789203644,0.8898215293884277,0.89105224609375,nan
14,,,2219,0.9794417023658752,0.9969545006752014,0.9847192764282227,,0.9842917323112488,0.9851471185684204,nan,,,,,,,
15,0.0008077783859334886,2599398912.0,2229,,,,0.014456113800406456,,,,,,,,,,
15,0.0008037796942517161,2599439872.0,2239,,,,0.006877426523715258,,,,,,,,,,
15,0.0007997499778866768,2599480832.0,2249,,,,0.2411491423845291,,,,,,,,,,
15,0.000795689586084336,2599521792.0,2259,,,,0.16246259212493896,,,,,,,,,,
15,0.0007915990427136421,2599562752.0,2269,,,,0.0629706084728241,,,,,,,,,,
15,0.0007874786388128996,2599603712.0,2279,,,,0.06221852824091911,,,,,,,,,,
15,0.0007833288982510567,2599644672.0,2289,,,,0.019821107387542725,,,,,,,,,,
15,,,2293,,,,,,,,0.8791518211364746,0.9307816624641418,0.8758339881896973,0.8953851461410522,0.9839479923248291,0.7891265153884888,nan
15,0.0007791502284817398,2599685632.0,2299,,,,0.01570603996515274,,,,,,,,,,
15,0.0007749430369585752,2599726592.0,2309,,,,0.030509881675243378,,,,,,,,,,
15,0.0007707077311351895,2599767552.0,2319,,,,0.1498163789510727,,,,,,,,,,
15,0.0007664447766728699,2599808512.0,2329,,,,0.053673867136240005,,,,,,,,,,
15,0.0007621545810252428,2599849472.0,2339,,,,0.060261890292167664,,,,,,,,,,
15,0.0007578376098535955,2599890432.0,2349,,,,0.09977976232767105,,,,,,,,,,
15,0.0007534943288192153,2599931392.0,2359,,,,0.044736459851264954,,,,,,,,,,
15,,,2367,,,,,,,,0.8811056017875671,0.9383878707885742,0.8881077170372009,0.4702417850494385,0.9031016230583191,0.8736035823822021,nan
15,,,2367,0.9809423685073853,0.9973112344741821,0.9858217239379883,,0.9862992167472839,0.985344648361206,nan,,,,,,,
16,0.0007491250871680677,2599366144.0,2369,,,,0.09241125732660294,,,,,,,,,,
16,0.0007447304669767618,2599407104.0,2379,,,,0.010706876404583454,,,,,,,,,,
16,0.0007403107592836022,2599448064.0,2389,,,,0.004557013977319002,,,,,,,,,,
16,0.0007358665461651981,2599489024.0,2399,,,,0.09619170427322388,,,,,,,,,,
16,0.0007313982350751758,2599529984.0,2409,,,,0.08896180987358093,,,,,,,,,,
16,0.0007269062916748226,2599570944.0,2419,,,,0.05481480434536934,,,,,,,,,,
16,0.0007223911234177649,2599611904.0,2429,,,,0.05509142205119133,,,,,,,,,,
16,0.000717853254172951,2599652864.0,2439,,,,0.01627369038760662,,,,,,,,,,
