train_loss,lr,memory,epoch,step
132.77200317382812,0.0010000000474974513,1497877504.0,8,969
136.02528381347656,0.0010000000474974513,1497877504.0,8,979
127.30095672607422,0.0010000000474974513,1497877504.0,8,989
125.13632202148438,0.0010000000474974513,1497877504.0,8,999
134.07083129882812,0.0010000000474974513,1497877504.0,8,1009
129.08204650878906,0.0010000000474974513,1497877504.0,8,1019
136.15850830078125,0.0010000000474974513,1497877504.0,8,1029
129.1985321044922,0.0010000000474974513,1497877504.0,8,1039
135.05419921875,0.0010000000474974513,1497877504.0,8,1049
129.39378356933594,0.0010000000474974513,1497877504.0,8,1059
133.5306396484375,0.0010000000474974513,1497877504.0,9,1069
133.52960205078125,0.0010000000474974513,1497877504.0,9,1079
138.30633544921875,0.0010000000474974513,1497877504.0,9,1089
137.76119995117188,0.0010000000474974513,1497877504.0,9,1099
